problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
82,82,5,1352.9756462166504,1863.8061067015135,1595.9824892927734,674.0552756654135,1209.5579168956824,1119.73441696167,1.3775607210028558,1.179609177560326,1.7944491506303124,1.6611907915953792
83,83,7,6389.260162527795,9795.409508220728,6322.841826132531,3785.749169450973,6121.293740972258,4506.513690114021,1.5331054392916366,0.9896046905735975,1.6169306171597198,1.1903888737476964
84,84,12,13340.123011226042,18686.201030579272,12868.551027357636,8024.149904211425,11694.417706131293,9756.295034945011,1.4007517782897785,0.9646501022912932,1.45740269632719,1.2158664969387574
85,85,1,660.7849727111573,926.5904555755371,660.7849727111573,425.4304575920105,588.0564750997046,566.998678445816,1.4022571545079143,1.0,1.382262281897205,1.3327646583065522
86,86,13,2130.675305564722,3128.5648441853273,2380.366269987329,1142.328925923228,2030.302802349878,1717.9046750169487,1.4683442549948367,1.1171886508331348,1.777336418850631,1.5038616601856083
87,87,18,3370.7645316515136,5831.86697379851,3689.038523508765,2018.638616459401,3738.6181825265217,2928.2523063893273,1.7301318199587123,1.0944219000967452,1.852049273229443,1.450607494830029
88,88,5,7635.207971566259,10482.734411910376,7445.431910207617,4440.543122684192,6605.445010074694,5725.126399517059,1.3729468078601643,0.9751446113759606,1.487530877998067,1.289285171057267
89,89,8,3327.492858654956,5397.723052481542,3626.222195481897,1910.4682746983003,3440.4282532238694,2826.193028330803,1.6221591696107855,1.089776101562452,1.8008298273192624,1.4793195290181478
90,90,7,28936.43386428107,35721.753255574506,26532.3447614912,16285.843381386147,22076.965986552917,16900.811572571598,1.2344905188772826,0.9169182659457751,1.355592428930375,1.037760905393965
91,91,15,20580.404963891164,25552.74486555132,19025.486420373094,11860.494899058533,16062.708187643677,13460.063995174143,1.2416055422808372,0.9244466497988638,1.354303367974865,1.1348652910126527
92,92,8,2752.241328392981,4742.601821253588,3029.1732721302246,1718.81796107454,2991.077393511136,2459.3480353355408,1.7231780412304063,1.1006205164061478,1.7401944017627249,1.43083682567411
93,93,10,3174.697323989185,5083.172509737403,3362.6542143004517,1803.2658705706024,3248.6851628741674,2652.987142920494,1.6011518551161004,1.05920466461196,1.801556396032824,1.4712124186551685
94,94,13,2849.610846937744,4629.794423997754,3125.966551928589,1672.7274719202953,2967.0719533161996,2430.5441404210874,1.624711117650691,1.0969801561809125,1.7737928043412796,1.453042519610691
95,95,12,6805.3956966677615,11442.297583284058,7171.903736429114,4272.2747153786195,7256.880837037652,5959.057371916581,1.6813566900873582,1.0538555076144671,1.6985988309495985,1.3948207381108157
96,96,89,30843.24384724102,38863.644305231224,29503.42204992495,18184.668135455096,25046.063394285236,20691.398072749304,1.2600375141380482,0.9565602825710591,1.3773175956646857,1.1378485391441802
97,97,9,2274.7574645673344,3250.1552915947514,2554.3772822736328,1204.2528315036332,2101.4493915020435,1843.850302100764,1.4287920106739558,1.1229229146675128,1.7450234174481187,1.5311156045184697
98,98,9,14194.741290591186,16056.60009492273,14572.358507800049,8329.379534962132,10394.083972490791,10818.929871442944,1.131165391902257,1.0266026135650081,1.2478821416243755,1.298887849452778
99,99,13,2585.250416669311,4745.44937817129,2883.181009322913,1563.0429027090051,3040.653845695052,2341.9611937823156,1.8355859639643946,1.1152424502990463,1.9453425369355564,1.4983345560914032
100,100,11,4843.445378744848,7700.082248210814,4998.707495518823,2811.433312472712,4885.094214117486,3902.0592766809837,1.5897943810829653,1.0320561304263556,1.7375813939619817,1.3879252477267705
101,101,9,2223.081136138355,3094.3240194196537,2509.9111575060306,1114.2386600307236,2008.1222585857554,1769.6995669366338,1.39190782069012,1.1290236405252934,1.8022371064834388,1.5882589883282605
102,102,6,2463.5464302168457,3876.9332321663333,2868.915514097461,1374.8300178201428,2473.4125536963666,2142.1639273733995,1.5737203831896438,1.1645469632350034,1.7990679004944028,1.558130023062706
103,103,19,10089.217858856884,14736.600785353487,9830.823766032738,6056.425995306435,9305.486737655492,7276.866315580348,1.4606286623513505,0.9743890858103224,1.5364650281976517,1.201511637592818
104,104,9,10275.857595243408,14756.743342553904,10379.91611316405,6009.053570997201,9155.238860513553,7231.723941683769,1.4360595410921861,1.0101265044748002,1.523574178919201,1.2034713713633387
105,105,7,6357.381269518763,9612.553846941626,6506.114046505457,3717.033680865759,6013.256410350863,4584.042366862297,1.5120304162077214,1.0233952897712477,1.6177567723707782,1.233252846338104
106,106,19,5250.742637345286,8403.928418994288,5448.035799474121,3013.487101324813,5375.014074126047,4257.605284111915,1.6005218688919052,1.0375743348618174,1.7836525903041165,1.4128500109524786
107,107,5,21841.924044773074,25182.29846323149,21490.075321606928,12096.258537322454,15422.827065807513,13341.22795923551,1.1529340735555662,0.9838911296255356,1.2750080546163165,1.102921859521418
108,108,21,13097.825669441238,16639.749406238352,11430.817178645337,6902.400257758618,10760.383798945426,8765.364247560501,1.2704207420519298,0.8727263186373577,1.5589336168748336,1.2699008924769069
109,109,18,23916.43017173116,25427.976677638722,20004.89491353719,13602.936636975315,15891.944756076386,13167.10023853304,1.0632011757212072,0.8364498702311626,1.1682730854512047,0.9679601243412698
